iter	RMSE
0	0.9802420683
1	0.8438817845
2	0.7446744593
3	0.6699292816
4	0.618499138
5	0.5787899903
6	0.5472455471
7	0.5215617722
8	0.4998055539
9	0.4841099426
10	0.471757613
11	0.4608146364
12	0.4511046743
13	0.4415596472
14	0.4350418558
15	0.4252472788
16	0.419812338
17	0.4124015428
18	0.4074841522
19	0.4029339323
20	0.3945978354
21	0.3909045213
22	0.3827693265
23	0.3760926001
24	0.3716750849
25	0.366767558
26	0.3605254566
27	0.3553298884
28	0.3497779047
29	0.3456379043
30	0.3405676522
31	0.3367215841
32	0.3328321133
33	0.3296897661
34	0.3262989536
35	0.3232376408
36	0.319531173
37	0.315345238
38	0.3118430878
39	0.3081946097
40	0.3043268641
41	0.3011096201
42	0.2975702239
43	0.2916549435
44	0.2879436067
45	0.2852047741
46	0.2802216329
47	0.2775354396
48	0.2724771905
49	0.2694263261
50	0.2663971343
51	0.2640794246
52	0.2614643591
53	0.2581233614
54	0.2558548044
55	0.2524707174
56	0.248935403
57	0.2470891815
58	0.2442770007
59	0.2421195767
60	0.2401384022
61	0.2370337988
62	0.2348416091
63	0.2326991111
64	0.2306385335
65	0.2283191982
