iter	Passed	Remaining
0	1733	298133
1	3755	321060
2	5453	309018
3	7082	299226
4	8694	292136
5	10542	293421
6	12491	296219
7	14176	292385
8	15881	289388
9	17752	289359
10	19934	293583
11	21929	294219
12	23657	291169
13	25515	289783
14	27629	291031
15	29372	288216
16	30963	284138
17	32617	280874
18	34677	281072
19	36876	282104
20	38658	279814
21	40419	277427
22	42419	276648
23	44459	276020
24	46140	273151
25	47778	270133
26	49545	267913
27	51721	267842
28	53444	265381
29	55262	263418
30	57036	261265
31	58984	259901
32	60710	257561
33	62331	254825
34	64050	252540
35	65954	250994
36	67770	249103
37	69399	246550
38	71101	244298
39	73055	242910
40	74942	241277
41	76699	239230
42	78647	237771
43	80774	236816
44	83218	236711
45	85066	234856
46	87091	233478
47	89502	233078
48	91835	232400
49	93640	230354
50	95373	228147
51	97337	226497
52	99307	224846
53	101198	223011
54	102953	220881
55	104866	219096
56	106948	217649
57	108694	215514
58	110396	213308
59	112129	211177
60	114072	209444
61	115834	207380
62	117515	205185
63	119503	203529
64	121417	201739
65	123580	200350
